id,city08U,co2TailpipeGpm,comb08U,cylinders,displ,drive,fuelCost08,fuelType,ghgScore,highway08U,make,model,automatictransmission,VClass,year,tCharger,sCharger,atvType,mfrCode,startStop
42638,33.6,316,38.5755,4,1.4,2,1550,Regular,6,47.1,Chevrolet,Trax FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,GMX,0
42639,23.5971,344,25.8831,4,1.4,4,1650,Regular,5,29.3594,Buick,Encore AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,GMX,0
42640,23.5971,344,25.8831,4,1.4,4,1650,Regular,5,29.3594,Chevrolet,Trax AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,GMX,0
42641,16.3295,491,18.0917,8,5,4,2950,Premium,3,20.8405,Land Rover,Range Rover,1,Standard Sport Utility Vehicle 4WD,2021,0,1,Gas,JLX,1
42642,16.3295,491,18.0917,8,5,4,2950,Premium,3,20.8405,Land Rover,Range Rover LWB,1,Standard Sport Utility Vehicle 4WD,2021,0,1,Gas,JLX,1
42643,13.7484,569,15.5774,8,5,4,3300,Premium,2,18.6021,Land Rover,Range Rover SVA,1,Standard Sport Utility Vehicle 4WD,2021,0,1,Gas,JLX,1
42644,13.1325,587,15.1147,8,5,4,3500,Premium,2,18.5337,Land Rover,Range Rover LWB SVA,1,Standard Sport Utility Vehicle 4WD,2021,0,1,Gas,JLX,1
42645,16.779,472,18.8224,8,5,4,2800,Premium,3,22.114,Land Rover,Range Rover Sport,1,Standard Sport Utility Vehicle 4WD,2021,0,1,Gas,JLX,1
42646,14.5136,540,16.4401,8,5,4,3300,Premium,2,19.6238,Land Rover,Range Rover Sport SVR,1,Standard Sport Utility Vehicle 4WD,2021,0,1,Gas,JLX,1
42648,15.2849,513,17.6558,8,4,2,2950,Premium,3,21.7862,McLaren Automotive,720S Coupe,1,Two Seaters,2020,1,0,Gas,MLN,0
42649,15.3619,496,17.6673,8,4,2,2950,Premium,3,21.6357,McLaren Automotive,720S Spider,1,Two Seaters,2020,1,0,Gas,MLN,0
42650,15.0863,513,17.5035,8,4,2,2950,Premium,3,21.7658,McLaren Automotive,GT,1,Two Seaters,2020,1,0,Gas,MLN,0
42651,20.0948,382,23.2669,4,2,4,2300,Premium,5,28.829,Mercedes-Benz,AMG CLA45 4matic,1,Compact Cars,2020,1,0,Gas,MBX,1
42652,16.6221,492,18.05,4,2,4,2950,Premium,3,20.1674,Land Rover,Defender 110,1,Standard Sport Utility Vehicle 4WD,2020,1,0,Gas,JLX,1
42654,17.8574,466,19.0555,4,2,4,2800,Premium,3,20.7578,Land Rover,Defender 90,1,Standard Sport Utility Vehicle 4WD,2020,1,0,Gas,JLX,1
42656,29.2865,273,32.5457,4,1.4,2,1300,Regular,7,37.6694,Chevrolet,Spark,0,Subcompact Cars,2021,0,0,Gas,GMX,0
42657,29.2865,278,32,4,1.4,2,1350,Regular,7,37,Chevrolet,Spark ACTIV,0,Subcompact Cars,2021,0,0,Gas,GMX,0
42658,30.4158,266,33.3799,4,1.4,2,1300,Regular,7,37,Chevrolet,Spark ACTIV,1,Subcompact Cars,2021,0,0,Gas,GMX,0
42659,30.4158,266,33.3799,4,1.4,2,1300,Regular,7,37.8932,Chevrolet,Spark,1,Subcompact Cars,2021,0,0,Gas,GMX,0
42660,33.1694,248,36.3244,4,1.6,2,1200,Regular,8,41.1029,Hyundai,Accent,1,Compact Cars,2021,0,0,Gas,HYX,0
42661,28.6838,273,32.6036,4,1.6,2,1300,Regular,7,39.1412,Hyundai,Accent,0,Compact Cars,2021,0,0,Gas,HYX,0
42662,29.5425,287,31.1657,4,1.6,2,1400,Regular,7,33.4092,Hyundai,Venue,1,Midsize Cars,2021,0,0,Gas,HYX,0
42663,22.7495,361,24.848,4,2,2,1700,Regular,5,28.0053,Hyundai,Tucson FWD,1,Small Sport Utility Vehicle 2WD,2021,0,0,Gas,HYX,0
42664,20.0948,395,22.5318,6,3.8,2,1850,Regular,5,26.4527,Kia,Telluride FWD,1,Small Sport Utility Vehicle 2WD,2021,0,0,Gas,KMX,1
42665,18,441,20,6,3,4,2650,Premium,4,23.7728,Audi,SQ5,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,VGA,1
42666,21.824,385,23.3296,4,2,4,1850,Regular,5,25.478,Hyundai,Tucson AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,HYX,0
42667,21.4183,387,23.2262,4,2.4,4,1850,Regular,5,25.898,Hyundai,Tucson AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,HYX,0
42668,18.5787,428,20.7922,6,3.8,4,2050,Regular,4,24.3358,Kia,Telluride AWD,1,Small Sport Utility Vehicle 4WD,2021,0,0,Gas,KMX,1
42669,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,570S Coupe,1,Two Seaters,2020,1,0,Gas,MLN,1
42670,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,570S Spider,1,Two Seaters,2020,1,0,Gas,MLN,1
42671,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,600LT Spider,1,Two Seaters,2020,1,0,Gas,MLN,1
42672,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,620R Coupe,1,Two Seaters,2020,1,0,Gas,MLN,1
42675,23.4563,322,27.389,4,2,2,1950,Premium,6,34.4479,Volvo,S60 FWD,1,Compact Cars,2021,1,0,Gas,VVX,1
42676,21.3224,352,25.0491,4,2,4,2100,Premium,5,31.8536,Volvo,S60 AWD,1,Compact Cars,2021,1,1,Gas,VVX,1
42677,20.9627,356,24.7914,4,2,4,2100,Premium,5,31.9159,Volvo,S90 AWD,1,Midsize Cars,2021,1,1,Gas,VVX,1
42678,23.4563,322,27.389,4,2,2,1950,Premium,6,34.4479,Volvo,V60 FWD,1,Small Station Wagons,2021,1,0,Gas,VVX,1
42679,21.5376,354,24.9238,4,2,4,2100,Premium,5,30.8526,Volvo,V60 CC AWD,1,Small Station Wagons,2021,1,0,Gas,VVX,1
42680,22,339,26,4,2,2,2050,Premium,5,33,Volvo,V90 FWD,1,Midsize Station Wagons,2021,1,0,Gas,VVX,1
42681,20.9627,356,24.7914,4,2,4,2100,Premium,5,31.9159,Volvo,V90 AWD,1,Midsize Station Wagons,2021,1,1,Gas,VVX,1
42682,20.3848,373,23.685,4,2,4,2200,Premium,5,29.5278,Volvo,V90 CC AWD,1,Midsize Station Wagons,2021,1,1,Gas,VVX,1
42683,29.6199,288,30.7314,3,1.3,2,1400,Regular,7,32.2086,Buick,Encore GX FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,GMX,1
42684,21.824,359,24.6263,4,2,2,2100,Premium,5,29.2106,Volvo,XC60 FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,VVX,1
42685,22.7495,340,26.0124,4,2,2,1650,Regular,5,31.5415,Volvo,XC40 FWD,1,Small Sport Utility Vehicle 2WD,2021,1,0,Gas,VVX,1
42686,26.2382,330,27.5673,3,1.3,4,1550,Regular,6,29.3868,Buick,Encore GX AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,GMX,1
42687,20.9627,375,23.5735,4,2,4,2200,Premium,5,27.8062,Volvo,XC60 AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,VVX,1
42688,20.0948,386,22.8409,4,2,4,2300,Premium,5,27.4208,Volvo,XC60 AWD,1,Small Sport Utility Vehicle 4WD,2021,1,1,Gas,VVX,1
42689,21.5376,359,24.6215,4,2,4,2100,Premium,5,29.8444,Volvo,XC40 AWD,1,Small Sport Utility Vehicle 4WD,2021,1,0,Gas,VVX,1
42690,21.3942,361,24.5182,4,2,2,2100,Premium,5,29.8444,Volvo,XC90 FWD,1,Standard Sport Utility Vehicle 2WD,2021,1,0,Gas,VVX,1
42691,21.8954,412,24.3843,6,3,4,2000,Diesel,4,28.3185,Land Rover,Range Rover,1,Standard Sport Utility Vehicle 4WD,2021,1,0,Diesel,JLX,1
42692,21.8954,412,24.3843,6,3,4,2000,Diesel,4,28.3185,Land Rover,Range Rover Sport,1,Standard Sport Utility Vehicle 4WD,2021,1,0,Diesel,JLX,1
42695,19.3663,394,22.4299,4,2,4,2400,Premium,4,27.8062,Volvo,XC90 AWD,1,Standard Sport Utility Vehicle 4WD,2021,1,1,Gas,VVX,1
42696,20.4572,380,23.3185,4,2,4,2300,Premium,5,28.1266,Volvo,XC90 AWD,1,Standard Sport Utility Vehicle 4WD,2021,1,0,Gas,VVX,1
42706,16.3341,481,18.7286,8,3.8,2,2800,Premium,3,22.8166,McLaren Automotive,540C Coupe,1,Two Seaters,2018,1,0,Gas,MLN,0
42707,16.3341,481,18.7286,8,3.8,2,2800,Premium,3,22.8166,McLaren Automotive,570GT,1,Two Seaters,2018,1,0,Gas,MLN,0
42709,16.3341,481,18.7286,8,3.8,2,2800,Premium,3,22.8166,McLaren Automotive,570S Spider,1,Two Seaters,2018,1,0,Gas,MLN,0
42710,15.2849,513,17.6812,8,4,2,2950,Premium,3,21.8724,McLaren Automotive,720S Coupe,1,Two Seaters,2018,1,0,Gas,MLN,0
42711,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,570GT,1,Two Seaters,2019,1,0,Gas,MLN,0
42712,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,570S Coupe,1,Two Seaters,2019,1,0,Gas,MLN,0
42713,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,570S Spider,1,Two Seaters,2019,1,0,Gas,MLN,0
42714,15.2282,503,17.5369,8,3.8,2,2950,Premium,3,21.5256,McLaren Automotive,600LT Coupe,1,Two Seaters,2019,1,0,Gas,MLN,0
42715,15.2849,513,17.6558,8,4,2,2950,Premium,3,21.7862,McLaren Automotive,720S Coupe,1,Two Seaters,2019,1,0,Gas,MLN,0
42716,15.3619,496,17.6673,8,4,2,2950,Premium,3,21.6357,McLaren Automotive,720S Spider,1,Two Seaters,2019,1,0,Gas,MLN,0
42717,14.1829,570,15.6824,8,4,2,3300,Premium,2,18.0095,McLaren Automotive,Senna,1,Two Seaters,2019,1,0,Gas,MLN,0
42718,26.4928,292,30.2436,3,1.5,2,1750,Premium,6,36.5719,MINI,Cooper Convertible,0,Minicompact Cars,2021,1,0,Gas,BMX,0
42719,26.4928,292,30.2436,3,1.5,2,1750,Premium,6,36.5719,MINI,Cooper Hardtop 2 door,0,Subcompact Cars,2021,1,0,Gas,BMX,0
42720,26.4928,292,30.2436,3,1.5,2,1750,Premium,6,36.5719,MINI,Cooper Hardtop 4 door,0,Subcompact Cars,2021,1,0,Gas,BMX,0
42721,23.2447,337,26.2667,4,2,4,1650,Regular,5,31.2288,Subaru,Impreza 4-Door,0,Midsize Cars,2021,0,0,Gas,FJX,0
42722,28.4115,281,31.5021,4,2,4,1350,Regular,7,36.3326,Subaru,Impreza 4-Door,1,Midsize Cars,2021,0,0,Gas,FJX,0
42723,27.1281,291,30.443,4,2,4,1450,Regular,6,35.7879,Subaru,Impreza Sport 4-Door,1,Midsize Cars,2021,0,0,Gas,FJX,0
42724,23.5971,335,26.4104,4,2,4,1650,Regular,5,30.9153,Subaru,Impreza 5-Door,0,Small Station Wagons,2021,0,0,Gas,FJX,0
42725,28.0417,284,31.1102,4,2,4,1400,Regular,7,35.9133,Subaru,Impreza 5-Door,1,Small Station Wagons,2021,0,0,Gas,FJX,0
